Airline IATA,Source airport IATA,Destination airport IATA,Distance
AZ,BWI,ATL,927.5307689689371
AZ,CHS,ATL,416.0630081305395
AZ,CLE,ATL,893.816089349385
AZ,CLT,ATL,364.56708046970965
AZ,CVG,ATL,602.1803007933797
AZ,DEN,ATL,1926.617829778416
AZ,DFW,ATL,1174.5318236036762
AZ,DTW,ATL,958.1975913594932
AZ,EWR,ATL,1199.3163539241518
AZ,IAD,ATL,859.0311610793251
AZ,IND,ATL,696.265301572822
AZ,JFK,ATL,1222.0934389187264
AZ,JFK,MSY,1901.4897105100436
AZ,LAS,ATL,2804.8279085707227
AZ,MCO,ATL,650.7363446314486
AZ,MKE,ATL,1078.353344778379
AZ,MSY,ATL,683.5719060307282
AZ,MSY,JFK,1901.4897105100436
AZ,OMA,ATL,1321.0472363918204
AZ,ORD,ATL,976.3278291656198
AZ,PHL,ATL,1071.592953109364
AZ,PHX,ATL,2549.081233958843
AZ,RDU,ATL,572.24839306195
AZ,SEA,ATL,3504.977057741039
AZ,SLC,ATL,2553.604187970751
AZ,STL,ATL,779.0051856208638
B6,BDL,MCO,1692.2136550323467
B6,BOS,BWI,594.0541197280135
B6,BOS,CHS,1317.727548970569
B6,BOS,CLT,1170.6751257417918
B6,BOS,DEN,2815.7313319048426
B6,BOS,DFW,2509.268905512098
B6,BOS,DTW,1014.9910017419462
B6,BOS,EWR,322.30617955799215
B6,BOS,IAD,663.5496263538276
B6,BOS,JFK,300.1779770895026
B6,BOS,LAS,3822.670846998289
B6,BOS,LAX,4193.02908746007
B6,BOS,MCO,1805.9747627053528
B6,BOS,MSY,2199.567674669334
B6,BOS,ORD,1391.078325285235
B6,BOS,PDX,4072.319804493596
B6,BOS,PHL,450.1419758792534
B6,BOS,PHX,3693.7754228607205
B6,BOS,RDU,984.5089063904311
B6,BOS,SEA,4005.5088356419633
B6,BWI,BOS,594.0541197280135
B6,CHS,BOS,1317.727548970569
B6,CHS,JFK,1025.0077423756181
B6,CLT,BOS,1170.6751257417918
B6,CLT,JFK,870.5292109233397
B6,DEN,BOS,2815.7313319048426
B6,DEN,JFK,2609.7820968124765
B6,DFW,BOS,2509.268905512098
B6,DTW,BOS,1014.9910017419462
B6,EWR,BOS,322.30617955799215
B6,EWR,MCO,1510.8818234426883
B6,IAD,BOS,663.5496263538276
B6,IAD,JFK,366.3199056673762
B6,JFK,BOS,300.1779770895026
B6,JFK,CHS,1025.0077423756181
B6,JFK,CLT,870.5292109233397
B6,JFK,DEN,2609.7820968124765
B6,JFK,IAD,366.3199056673762
B6,JFK,LAS,3609.2825234219504
B6,JFK,LAX,3974.1967108791923
B6,JFK,MCO,1521.3886141530443
B6,JFK,MSY,1901.4897105100436
B6,JFK,ORD,1187.8355870120465
B6,JFK,PDX,3938.865864603751
B6,JFK,PHX,3458.11906367387
B6,JFK,RDU,686.50304121785
B6,JFK,SEA,3886.6379044866676
B6,JFK,SLC,3193.601944535752
B6,LAS,BOS,3822.670846998289
B6,LAS,JFK,3609.2825234219504
B6,LAX,BOS,4193.02908746007
B6,LAX,JFK,3974.1967108791923
B6,MCO,BDL,1692.2136550323467
B6,MCO,BOS,1805.9747627053528
B6,MCO,EWR,1510.8818234426883
B6,MCO,JFK,1521.3886141530443
B6,MSY,BOS,2199.567674669334
B6,MSY,JFK,1901.4897105100436
B6,ORD,BOS,1391.078325285235
B6,ORD,JFK,1187.8355870120465
B6,PDX,BOS,4072.319804493596
B6,PDX,JFK,3938.865864603751
B6,PHL,BOS,450.1419758792534
B6,PHX,BOS,3693.7754228607205
B6,PHX,JFK,3458.11906367387
